change                             ,fim_type       ,steering_success ,mutation          ,typechecks_before ,typechecks_after ,model            ,lang ,interval
"['Union', 'Union']"               ,str            ,False            ,delete            ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['str', 'Text']"                  ,Text           ,True             ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['int', 'int']"                   ,str            ,False            ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['float', 't']"                   ,int            ,False            ,delete            ,True              ,False            ,starcoderbase-1b ,py   ,       5
"['Dict', 'Dict']"                 ,dict           ,False            ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Connection', 'Connection']"     ,Any            ,False            ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['np', 'List']"                   ,list           ,False            ,delete            ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Dict', 'Dict']"                 ,dict           ,False            ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Update', 'Update']"             ,Updater        ,False            ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['_', '_']"                       ,dict           ,False            ,delete            ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['int', 'int']"                   ,bytes          ,False            ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"[""'"", 'Bot']"                   ,Any            ,False            ,delete            ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Any', 'float']"                 ,float          ,True             ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['str', 'str']"                   ,bytes          ,False            ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['float', 'float']"               ,int            ,False            ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['dict', 'Dict']"                 ,Dict           ,True             ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['str', 'Path']"                  ,Path           ,True             ,delete            ,False             ,True             ,starcoderbase-1b ,py   ,       5
"[""'"", 'Bot']"                   ,Any            ,False            ,delete            ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Dict', 'Config']"               ,Config         ,True             ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['bytes', 'bytes']"               ,str            ,False            ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['str', 'List']"                  ,list           ,False            ,delete            ,True              ,False            ,starcoderbase-1b ,py   ,       5
"['Any', 'Connection']"            ,Connection     ,True             ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Union', 'int']"                 ,int            ,True             ,delete            ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['str', 'Address']"               ,bytes          ,False            ,delete            ,True              ,False            ,starcoderbase-1b ,py   ,       5
"['Distribution', 'Normal']"       ,Normal         ,True             ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Dict', 'Dict']"                 ,Config         ,False            ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['int', 'Token']"                 ,Token          ,True             ,delete            ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Any', 'Job']"                   ,Serializable   ,False            ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Mail', 'Mail']"                 ,Mock           ,False            ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Track', 'Track']"               ,Serializable   ,False            ,delete            ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['int', 'One']"                   ,float          ,False            ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['List', 'List']"                 ,Container      ,False            ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"[')', '<|endoftext|>']"           ,Authorization  ,False            ,delete            ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['int', 'Token']"                 ,Token          ,True             ,delete            ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Any', 'Any']"                   ,float          ,False            ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Token', 'Embedding']"           ,Embedding      ,True             ,delete            ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['int', 'Token']"                 ,Token          ,True             ,delete            ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['tp', 'Frame']"                  ,Frame          ,True             ,delete            ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Any', 'Pick']"                  ,Serializable   ,False            ,delete            ,True              ,False            ,starcoderbase-1b ,py   ,       5
"['Any', 'Project']"               ,Project        ,True             ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Exception', 'NotFound']"        ,NotFound       ,True             ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Base', 'Base']"                 ,Component      ,False            ,delete            ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['str', 'Path']"                  ,Path           ,True             ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"[""'"", 'Classifier']"            ,Classifier     ,True             ,delete            ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['typing', 'List']"               ,list           ,False            ,delete            ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Mail', 'Mail']"                 ,Mock           ,False            ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Money', 'Decimal']"             ,Decimal        ,True             ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Vector', 'Vector']"             ,ndarray        ,False            ,delete            ,False             ,False            ,starcoderbase-1b ,py   ,       5
"[""'"", 'Signature']"             ,Signature      ,True             ,delete            ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Token', 'Embedding']"           ,Embedding      ,True             ,delete            ,False             ,True             ,starcoderbase-1b ,py   ,       5
