,experiment_dir,eval_dir,ood_accuracy,ood_num_success,ood_total,fit_accuracy,fit_num_success,fit_total,total_num_success,total_count,total_accuracy,tokens_patched,layers_patched
0,ts_caa_baseline,ts_typeinf_1tok_caa,0.218,436,2000,0.2195,439,439,875,4000,0.21875,['<fim_middle>'],"[10, 11, 12, 13, 14]"
1,ts_caa_random_tensor_ablation,ts_typeinf_1tok_caa,0.2695,539,2000,0.2465,493,493,1032,4000,0.258,['<fim_middle>'],"[10, 11, 12, 13, 14]"
2,ts_caa_random_tensor_ablation_2,ts_typeinf_1tok_caa,0.191,382,2000,0.1655,331,331,713,4000,0.17825,['<fim_middle>'],"[10, 11, 12, 13, 14]"
3,ts_caa_with_all_mutations_tensor,ts_typeinf_1tok_caa,0.2805,561,2000,0.2845,569,569,1130,4000,0.2825,['<fim_middle>'],"[10, 11, 12, 13, 14]"
4,ts_caa_with_all_renames_tensor,ts_typeinf_1tok_caa,0.3115,623,2000,0.308,616,616,1239,4000,0.30975,['<fim_middle>'],"[10, 11, 12, 13, 14]"
5,ts_caa_with_delete_tensor,ts_typeinf_1tok_caa,0.129,258,2000,0.126,252,252,510,4000,0.1275,['<fim_middle>'],"[10, 11, 12, 13, 14]"
6,ts_caa_with_rename_types_tensor,ts_typeinf_1tok_caa,0.273,546,2000,0.2495,499,499,1045,4000,0.26125,['<fim_middle>'],"[10, 11, 12, 13, 14]"
7,ts_caa_with_rename_vars_tensor,ts_typeinf_1tok_caa,0.2365,473,2000,0.247,494,494,967,4000,0.24175,['<fim_middle>'],"[10, 11, 12, 13, 14]"
8,ts_caa_with_types_and_delete_tensor,ts_typeinf_1tok_caa,0.2315,463,2000,0.2235,447,447,910,4000,0.2275,['<fim_middle>'],"[10, 11, 12, 13, 14]"
9,ts_caa_with_vars_and_delete_tensor,ts_typeinf_1tok_caa,0.253,506,2000,0.251,502,502,1008,4000,0.252,['<fim_middle>'],"[10, 11, 12, 13, 14]"
10,ts_caa_zero_tensor_ablation,ts_typeinf_1tok_caa,0.0045,9,2000,0.0055,11,11,20,4000,0.005,['<fim_middle>'],"[10, 11, 12, 13, 14]"
