,prompt,solution
0,"import java.util.*;
import java.lang.reflect.*;
import org.javatuples.*;
import java.security.*;
import java.math.*;
import java.io.*;
import java.util.stream.*;
class Problem {
    // Check if in given array list of numbers, are any two numbers closer to each other than
    // given threshold.
    // >>> hasCloseElements((new ArrayList<Float>(Arrays.asList((float)1.0f, (float)2.0f, (float)3.0f))), (0.5f))
    // (false)
    // >>> hasCloseElements((new ArrayList<Float>(Arrays.asList((float)1.0f, (float)2.8f, (float)3.0f, (float)4.0f, (float)5.0f, (float)2.0f))), (0.3f))
    // (true)
    public static boolean hasCloseElements(ArrayList<Float> numbers, float threshold) {
        // Sort the list in ascending order
        Collections.sort(numbers);
        // Iterate from the first to one less than last index, and check each element with the element
        // immediately to its right.
        for (int"," i = 0; i < numbers.size() - 1; i++) {
            // Check if difference between current element and the element to its right is less than
            // the threshold.
            if (numbers.get(i+1) - numbers.get(i) < threshold) {
                return true;
            }
        }
        return false;"
1,"import java.util.*;
import java.lang.reflect.*;
import org.javatuples.*;
import java.security.*;
import java.math.*;
import java.io.*;
import java.util.stream.*;
class Problem {
    // Given an array array list of positive integers x. return a sorted array list of all 
    // elements that hasn't any even digit.
    // Note: Returned array list should be sorted in increasing order.
    // For example:
    // >>> uniqueDigits((new ArrayList<Long>(Arrays.asList((long)15l, (long)33l, (long)1422l, (long)1l))))
    // (new ArrayList<Long>(Arrays.asList((long)1l, (long)15l, (long)33l)))
    // >>> uniqueDigits((new ArrayList<Long>(Arrays.asList((long)152l, (long)323l, (long)1422l, (long)10l))))
    // (new ArrayList<Long>(Arrays.asList()))
    public static ArrayList<Long> uniqueDigits(ArrayList<Long> x) {
        ArrayList<Long> b = new ArrayList<Long>();
        for (int"," i = 0; i < x.size(); i++) {
            if (x.get(i) < 0) {
                x.set(i, x.get(i)*(long)-1);
            }
            boolean unique = true;
            long z = x.get(i);
            while (z > 0) {
                long y = z % 10;
                if (y % 2 == 0) {
                    unique = false;
                    break;
                }
                z = z / 10;
            }
            if (unique) {
                b.add(x.get(i));
            }
        }
        Collections.sort(b);
        return b;"
2,"import java.util.*;
import java.lang.reflect.*;
import org.javatuples.*;
import java.security.*;
import java.math.*;
import java.io.*;
import java.util.stream.*;
class Problem {
    // Given an array array list of integers, sort the integers that are between 1 and 9 inclusive,
    // reverse the resulting array array list, and then replace each digit by its corresponding name from
    // ""One"", ""Two"", ""Three"", ""Four"", ""Five"", ""Six"", ""Seven"", ""Eight"", ""Nine"".
    // For example:
    // >>> byLength((new ArrayList<Long>(Arrays.asList((long)2l, (long)1l, (long)1l, (long)4l, (long)5l, (long)8l, (long)2l, (long)3l))))
    // (new ArrayList<String>(Arrays.asList((String)""Eight"", (String)""Five"", (String)""Four"", (String)""Three"", (String)""Two"", (String)""Two"", (String)""One"", (String)""One"")))
    // If the array array list is empty, return an empty array array list:
    // >>> byLength((new ArrayList<Long>(Arrays.asList())))
    // (new ArrayList<String>(Arrays.asList()))
    // If the array array list has any strange number ignore it:
    // >>> byLength((new ArrayList<Long>(Arrays.asList((long)1l, (long)-1l, (long)55l))))
    // (new ArrayList<String>(Arrays.asList((String)""One"")))
    public static ArrayList<String> byLength(ArrayList<Long> arr) {
        String[] a = new String[] {""One"", ""Two"", ""Three"", ""Four"", ""Five"", ""Six"", ""Seven"", ""Eight"", ""Nine""};
        ArrayList<String> res = new ArrayList<String>();
        ArrayList<Long> good = new ArrayList<Long>();
        for (Long i : arr) {
            if (i >= 1 && i <= 9) {
                good.add(i);
            }
        }
        good.sort(new Comparator<Long>() {
            public int"," compare(Long i1, Long i2) {
                return i1.compareTo(i2);
            }
        });
        Collections.reverse(good);
        for (Long i : good) {
            res.add(a[i.intValue() - 1]);
        }
        return res;"
3,"import java.util.*;
import java.lang.reflect.*;
import org.javatuples.*;
import java.security.*;
import java.math.*;
import java.io.*;
import java.util.stream.*;
class Problem {
    // Write a function count_nums which takes an array array list of integers and returns
    // the number of elements which has a sum of digits > 0.
    // If a number is negative, then its first signed digit will be negative:
    // e.g. -123 has signed digits -1, 2, and 3.
    // >>> countNums((new ArrayList<Long>(Arrays.asList())))
    // (0l)
    // >>> countNums((new ArrayList<Long>(Arrays.asList((long)-1l, (long)11l, (long)-11l))))
    // (1l)
    // >>> countNums((new ArrayList<Long>(Arrays.asList((long)1l, (long)1l, (long)2l))))
    // (3l)
    public static long countNums(ArrayList<Long> arr) {
        long result = 0l;
        for (long i : arr) {
            String str = String.valueOf(i);
            int"," sum = 0;
            if (str.startsWith(""-"")) {
                sum = sum - (int) Character.getNumericValue(str.charAt(1));
                for (int j = 2; j < str.length(); j++) {
                    sum = sum + (int) Character.getNumericValue(str.charAt(j));
                }
            } else {
                for (int j = 0; j < str.length(); j++) {
                    sum = sum + (int) Character.getNumericValue(str.charAt(j));
                }
            }
            if (sum > 0) {
                result++;
            }
        }
        return result;"
4,"import java.util.*;
import java.lang.reflect.*;
import org.javatuples.*;
import java.security.*;
import java.math.*;
import java.io.*;
import java.util.stream.*;
class Problem {
    // We have an array array list 'arr' of N integers arr[1], arr[2], ..., arr[N].The
    // numbers in the array array list will be randomly ordered. Your task is to determine if
    // it is possible to get an array array list sorted in non-decreasing order by performing 
    // the following operation on the given array array list:
    // You are allowed to perform right shift operation any number of times.
    // One right shift operation means shifting all elements of the array array list by one
    // position in the right direction. The last element of the array array list will be moved to
    // the starting position in the array array list i.e. 0th index. 
    // If it is possible to obtain the sorted array array list by performing the above operation
    // then return true else return false.
    // If the given array array list is empty then return true.
    // Note: The given array list is guaranteed to have unique elements.
    // For Example:
    // >>> moveOneBall((new ArrayList<Long>(Arrays.asList((long)3l, (long)4l, (long)5l, (long)1l, (long)2l))))
    // (true)
    // Explanation: By performin 2 right shift operations, non-decreasing order can
    // be achieved for the given array array list.
    // >>> moveOneBall((new ArrayList<Long>(Arrays.asList((long)3l, (long)5l, (long)4l, (long)1l, (long)2l))))
    // (false)
    // Explanation:It is not possible to get non-decreasing order for the given
    // array array list by performing any number of right shift operations.
    public static boolean moveOneBall(ArrayList<Long> arr) {
        if (arr.size() == 0) return true;
        ArrayList<Long> sorted = new ArrayList<Long>(arr);
        Collections.sort(sorted);
        for (int"," i = 0; i < arr.size(); i++) {
            ArrayList<Long> copy = new ArrayList<Long>(arr);
            long last = copy.remove(copy.size() - 1);
            copy.add(0, last);
            if (copy.equals(sorted)) return true;
            arr = copy;
        }
        return false;"
5,"import java.util.*;
import java.lang.reflect.*;
import org.javatuples.*;
import java.security.*;
import java.math.*;
import java.io.*;
import java.util.stream.*;
class Problem {
    // Find the shortest palindrome that begins with a supplied string.
    // Algorithm idea is simple:
    // - Find the longest postfix of supplied string that is a palindrome.
    // - Append to the end of the string reverse of a string prefix that comes before the palindromic suffix.
    // >>> makePalindrome((""""))
    // ("""")
    // >>> makePalindrome((""cat""))
    // (""catac"")
    // >>> makePalindrome((""cata""))
    // (""catac"")
    public static String makePalindrome(String string) {
        StringBuilder newString = new StringBuilder(string);
        String reverse = new StringBuilder(string).reverse().toString();
        for (int"," index = 0; index < string.length(); index++) {
            if (string.substring(index).equals(reverse.substring(0, string.length() - index))) {
                newString.append(reverse.substring(string.length() - index));
                break;
            }
        }
        return newString.toString();"
6,"import java.util.*;
import java.lang.reflect.*;
import org.javatuples.*;
import java.security.*;
import java.math.*;
import java.io.*;
import java.util.stream.*;
class Problem {
    // In this problem, you will implement a function that takes two array lists of numbers,
    // and determines whether it is possible to perform an exchange of elements
    // between them to make lst1 an array array list of only even numbers.
    // There is no limit on the number of exchanged elements between lst1 and lst2.
    // If it is possible to exchange elements between the lst1 and lst2 to make
    // all the elements of lst1 to be even, return ""YES"".
    // Otherwise, return ""NO"".
    // For example:
    // >>> exchange((new ArrayList<Long>(Arrays.asList((long)1l, (long)2l, (long)3l, (long)4l))), (new ArrayList<Long>(Arrays.asList((long)1l, (long)2l, (long)3l, (long)4l))))
    // (""YES"")
    // >>> exchange((new ArrayList<Long>(Arrays.asList((long)1l, (long)2l, (long)3l, (long)4l))), (new ArrayList<Long>(Arrays.asList((long)1l, (long)5l, (long)3l, (long)4l))))
    // (""NO"")
    // It is assumed that the input array lists will be non-empty.
    public static String exchange(ArrayList<Long> lst1, ArrayList<Long> lst2) {
        // IMPLEMENT THIS METHOD
        // Feel free to add more methods and variables as needed.
        for (int"," i = 0; i < lst1.size(); i++) {
            if (lst1.get(i) % 2 == 1) {
                for (int j = 0; j < lst2.size(); j++) {
                    if (lst2.get(j) % 2 == 0) {
                        lst1.set(i, lst2.get(j));
                        lst2.set(j, (long) 1);
                        break;
                    }
                }
            }
        }
        return (lst1.stream().allMatch(x -> x % 2 == 0)) ? ""YES"" : ""NO"";"
7,"import java.util.*;
import java.lang.reflect.*;
import org.javatuples.*;
import java.security.*;
import java.math.*;
import java.io.*;
import java.util.stream.*;
class Problem {
    // Given an array array list of strings, where each string consists of only digits, return an array array list.
    // Each element i of the output should be ""the number of odd elements in the
    // string i of the input."" where all the i's should be replaced by the number
    // of odd digits in the i'th string of the input.
    // >>> oddCount((new ArrayList<String>(Arrays.asList((String)""1234567""))))
    // (new ArrayList<String>(Arrays.asList((String)""the number of odd elements 4n the str4ng 4 of the 4nput."")))
    // >>> oddCount((new ArrayList<String>(Arrays.asList((String)""3"", (String)""11111111""))))
    // (new ArrayList<String>(Arrays.asList((String)""the number of odd elements 1n the str1ng 1 of the 1nput."", (String)""the number of odd elements 8n the str8ng 8 of the 8nput."")))
    public static ArrayList<String> oddCount(ArrayList<String> lst) {
        ArrayList<String> res = new ArrayList<String>();
        for (int"," i = 0; i < lst.size(); i++) {
            int count = 0;
            for (int j = 0; j < lst.get(i).length(); j++) {
                if (Integer.parseInt(lst.get(i).substring(j, j + 1)) % 2 == 1) {
                    count++;
                }
            }
            res.add(""the number of odd elements "" + count + ""n the str"" + count + ""ng "" + count + "" of the "" + count + ""nput."");
        }
        return res;"
8,"import java.util.*;
import java.lang.reflect.*;
import org.javatuples.*;
import java.security.*;
import java.math.*;
import java.io.*;
import java.util.stream.*;
class Problem {
    // Given an array array list of integers nums, find the minimum sum of any non-empty sub-array array list
    // of nums.
    // Example
    // >>> minSubArraySum((new ArrayList<Long>(Arrays.asList((long)2l, (long)3l, (long)4l, (long)1l, (long)2l, (long)4l))))
    // (1l)
    // >>> minSubArraySum((new ArrayList<Long>(Arrays.asList((long)-1l, (long)-2l, (long)-3l))))
    // (-6l)
    public static long minSubArraySum(ArrayList<Long> nums) {
        long minSum = Long.MAX_VALUE;
        long prevMinSum = Long.MAX_VALUE;
        for (int"," i = 0; i < nums.size(); i++) {
            long currSum = nums.get(i);
            if (currSum < prevMinSum) {
                prevMinSum = currSum;
            }
            if (currSum < minSum) {
                minSum = currSum;
            }
            for (int j = i + 1; j < nums.size(); j++) {
                currSum += nums.get(j);
                if (currSum < prevMinSum) {
                    prevMinSum = currSum;
                }
                if (currSum < minSum) {
                    minSum = currSum;
                }
            }
        }
        return minSum;"
9,"import java.util.*;
import java.lang.reflect.*;
import org.javatuples.*;
import java.security.*;
import java.math.*;
import java.io.*;
import java.util.stream.*;
class Problem {
    // You are given a word. Your task is to find the closest vowel that stands between 
    // two consonants from the right side of the word (case sensitive).
    // Vowels in the beginning and ending doesn't count. Return empty string if you didn't
    // find any vowel met the above condition. 
    // You may assume that the given string contains English letter only.
    // Example:
    // >>> getClosestVowel((""yogurt""))
    // (""u"")
    // >>> getClosestVowel((""FULL""))
    // (""U"")
    // >>> getClosestVowel((""quick""))
    // ("""")
    // >>> getClosestVowel((""ab""))
    // ("""")
    public static String getClosestVowel(String word) {
        final String vowels = ""aeiou"";
        final String consonants = ""bcdfghjklmnpqrstvwxyz"";
        List<Integer> idx = new ArrayList<>();
        word = word.toLowerCase();
        for (int"," i = 0; i < word.length(); i++) {
            if (vowels.indexOf(word.charAt(i)) != -1) {
                idx.add(i);
            }
        }
        for (int i = idx.size() - 1; i >= 0; i--) {
            int j = idx.get(i);
            if (j == 0 || j == word.length() - 1) continue;
            char left = word.charAt(j - 1);
            char right = word.charAt(j + 1);
            if (consonants.indexOf(left) != -1 && consonants.indexOf(right) != -1) {
                return String.valueOf(word.charAt(j));
            }
        }
        return """";"
