,table_len,seed,is_correct,first_or_last_match,out,gold,func(n),earliest_layer
0,3,0,True,NA,b,b,0,18
1,3,0,True,NA,c,c,1,18
2,3,0,True,NA,d,d,2,17
3,3,0,True,NA,a,a,3,10
4,3,0,True,NA,a,a,4,10
5,3,0,True,NA,a,a,5,10
6,3,0,True,NA,a,a,6,10
7,3,0,True,NA,a,a,7,10
8,3,0,True,NA,a,a,8,10
9,3,0,True,NA,a,a,9,10
10,3,0,True,NA,a,a,10,10
11,3,0,True,NA,a,a,11,10
12,3,0,True,NA,a,a,12,10
13,3,0,True,NA,a,a,13,10
14,3,0,True,NA,a,a,14,10
15,3,0,True,NA,a,a,15,10
16,3,0,True,NA,a,a,16,10
17,3,0,True,NA,a,a,17,10
18,3,0,True,NA,a,a,18,10
19,3,0,True,NA,a,a,19,10
20,3,0,True,NA,a,a,20,10
21,3,0,True,NA,a,a,21,10
22,3,0,True,NA,a,a,22,10
23,3,0,True,NA,a,a,23,10
24,3,0,True,NA,a,a,24,10
25,3,0,True,NA,a,a,25,10
26,3,0,True,NA,a,a,26,10
27,3,0,False,Match_First_Digit_False_Task,d,a,27,12
28,3,0,False,Match_First_Digit_False_Task,d,a,28,12
29,3,0,True,NA,a,a,29,10
30,3,0,True,NA,a,a,30,10
31,3,0,True,NA,a,a,31,10
32,3,0,True,NA,a,a,32,10
33,3,0,True,NA,a,a,33,10
34,3,0,True,NA,a,a,34,10
35,3,0,True,NA,a,a,35,10
36,3,0,True,NA,a,a,36,10
37,3,0,True,NA,a,a,37,10
38,3,0,True,NA,a,a,38,10
39,3,0,True,NA,a,a,39,10
40,3,0,True,NA,a,a,40,10
41,3,0,True,NA,a,a,41,10
42,3,0,True,NA,a,a,42,10
43,3,0,True,NA,a,a,43,10
44,3,0,True,NA,a,a,44,10
45,3,0,True,NA,a,a,45,10
46,3,0,True,NA,a,a,46,10
47,3,0,True,NA,a,a,47,10
48,3,0,True,NA,a,a,48,10
49,3,0,True,NA,a,a,49,10
50,3,1,True,NA,a,a,0,10
51,3,1,True,NA,c,c,1,18
52,3,1,True,NA,b,b,2,18
53,3,1,True,NA,d,d,3,12
54,3,1,True,NA,d,d,4,12
55,3,1,True,NA,d,d,5,17
56,3,1,True,NA,d,d,6,17
57,3,1,True,NA,d,d,7,17
58,3,1,True,NA,d,d,8,12
59,3,1,True,NA,d,d,9,12
60,3,1,True,NA,d,d,10,12
61,3,1,True,NA,d,d,11,12
62,3,1,True,NA,d,d,12,12
63,3,1,True,NA,d,d,13,12
64,3,1,True,NA,d,d,14,12
65,3,1,True,NA,d,d,15,12
66,3,1,True,NA,d,d,16,17
67,3,1,True,NA,d,d,17,12
68,3,1,True,NA,d,d,18,12
69,3,1,True,NA,d,d,19,12
70,3,1,True,NA,d,d,20,12
71,3,1,True,NA,d,d,21,12
72,3,1,True,NA,d,d,22,12
73,3,1,True,NA,d,d,23,12
74,3,1,True,NA,d,d,24,12
75,3,1,True,NA,d,d,25,12
76,3,1,True,NA,d,d,26,17
77,3,1,False,Match_First_Digit_False_Task,b,d,27,18
78,3,1,False,Match_First_Digit_False_Task,b,d,28,18
79,3,1,True,NA,d,d,29,12
80,3,1,True,NA,d,d,30,12
81,3,1,True,NA,d,d,31,17
82,3,1,True,NA,d,d,32,17
83,3,1,True,NA,d,d,33,17
84,3,1,True,NA,d,d,34,12
85,3,1,True,NA,d,d,35,17
86,3,1,True,NA,d,d,36,17
87,3,1,True,NA,d,d,37,17
88,3,1,True,NA,d,d,38,17
89,3,1,True,NA,d,d,39,17
90,3,1,True,NA,d,d,40,12
91,3,1,True,NA,d,d,41,12
92,3,1,True,NA,d,d,42,12
93,3,1,True,NA,d,d,43,12
94,3,1,True,NA,d,d,44,12
95,3,1,True,NA,d,d,45,17
96,3,1,True,NA,d,d,46,12
97,3,1,True,NA,d,d,47,12
98,3,1,True,NA,d,d,48,12
99,3,1,True,NA,d,d,49,17
100,6,0,True,NA,d,d,0,10
101,6,0,True,NA,f,f,1,18
102,6,0,True,NA,e,e,2,18
103,6,0,True,NA,g,g,3,17
104,6,0,True,NA,a,a,4,10
105,6,0,True,NA,c,c,5,18
106,6,0,True,NA,b,b,6,18
107,6,0,True,NA,b,b,7,18
108,6,0,True,NA,b,b,8,18
109,6,0,True,NA,b,b,9,18
110,6,0,True,NA,b,b,10,18
111,6,0,True,NA,b,b,11,18
112,6,0,True,NA,b,b,12,18
113,6,0,False,Match_Last_Digit_False_Task,g,b,13,18
114,6,0,True,NA,b,b,14,18
115,6,0,False,Match_First_Digit_False_Task,f,b,15,24
116,6,0,False,Neither_False_Task,g,b,16,19
117,6,0,False,Neither_False_Task,g,b,17,18
118,6,0,False,Neither_False_Task,g,b,18,18
119,6,0,False,Match_First_Digit_False_Task,f,b,19,18
120,6,0,True,NA,b,b,20,18
121,6,0,True,NA,b,b,21,18
122,6,0,True,NA,b,b,22,18
123,6,0,True,NA,b,b,23,18
124,6,0,False,Match_Last_Digit_False_Task,a,b,24,10
125,6,0,False,Neither_False_Task,a,b,25,10
126,6,0,False,Neither_False_Task,a,b,26,10
127,6,0,False,Neither_False_Task,a,b,27,10
128,6,0,False,Neither_False_Task,a,b,28,10
129,6,0,True,NA,b,b,29,18
130,6,0,False,Match_First_Digit_False_Task,g,b,30,18
131,6,0,False,Match_First_Digit_False_Task,g,b,31,18
132,6,0,False,Match_First_Digit_False_Task,g,b,32,18
133,6,0,False,Match_First_Digit_False_Task,g,b,33,18
134,6,0,False,Match_First_Digit_False_Task,g,b,34,18
135,6,0,False,Match_First_Digit_False_Task,g,b,35,18
136,6,0,False,Match_First_Digit_False_Task,g,b,36,18
137,6,0,False,Match_First_Digit_False_Task,g,b,37,18
138,6,0,False,Match_First_Digit_False_Task,g,b,38,18
139,6,0,False,Match_First_Digit_False_Task,g,b,39,18
140,6,0,False,Match_First_Digit_False_Task,a,b,40,10
141,6,0,False,Match_First_Digit_False_Task,a,b,41,10
142,6,0,False,Match_First_Digit_False_Task,a,b,42,10
143,6,0,False,Match_First_Digit_False_Task,a,b,43,10
144,6,0,False,Match_First_Digit_False_Task,a,b,44,10
145,6,0,False,Match_First_Digit_False_Task,a,b,45,10
146,6,0,False,Match_First_Digit_False_Task,a,b,46,10
147,6,0,False,Match_First_Digit_False_Task,a,b,47,10
148,6,0,False,Match_First_Digit_False_Task,a,b,48,10
149,6,0,False,Match_First_Digit_False_Task,a,b,49,10
150,6,1,True,NA,f,f,0,18
151,6,1,True,NA,g,g,1,18
152,6,1,True,NA,c,c,2,17
153,6,1,True,NA,a,a,3,10
154,6,1,True,NA,d,d,4,12
155,6,1,True,NA,e,e,5,18
156,6,1,True,NA,b,b,6,18
157,6,1,True,NA,b,b,7,18
158,6,1,True,NA,b,b,8,18
159,6,1,True,NA,b,b,9,18
160,6,1,True,NA,b,b,10,18
161,6,1,True,NA,b,b,11,18
162,6,1,True,NA,b,b,12,18
163,6,1,True,NA,b,b,13,18
164,6,1,False,Match_First_Digit_False_Task,g,b,14,18
165,6,1,False,Match_First_Digit_False_Task,g,b,15,18
166,6,1,False,Match_First_Digit_False_Task,g,b,16,18
167,6,1,False,Match_First_Digit_False_Task,g,b,17,18
168,6,1,False,Match_First_Digit_False_Task,g,b,18,18
169,6,1,False,Match_First_Digit_False_Task,g,b,19,18
170,6,1,True,NA,b,b,20,18
171,6,1,True,NA,b,b,21,18
172,6,1,True,NA,b,b,22,18
173,6,1,True,NA,b,b,23,18
174,6,1,True,NA,b,b,24,18
175,6,1,True,NA,b,b,25,18
176,6,1,False,Neither_False_Task,a,b,26,10
177,6,1,True,NA,b,b,27,18
178,6,1,False,Neither_False_Task,a,b,28,10
179,6,1,True,NA,b,b,29,18
180,6,1,False,Match_First_Digit_False_Task,a,b,30,10
181,6,1,False,Match_First_Digit_False_Task,a,b,31,10
182,6,1,False,Match_First_Digit_False_Task,a,b,32,10
183,6,1,True,NA,b,b,33,18
184,6,1,False,Match_First_Digit_False_Task,a,b,34,10
185,6,1,False,Match_First_Digit_False_Task,a,b,35,10
186,6,1,False,Match_First_Digit_False_Task,a,b,36,10
187,6,1,False,Match_First_Digit_False_Task,a,b,37,10
188,6,1,False,Match_First_Digit_False_Task,a,b,38,10
189,6,1,False,Match_First_Digit_False_Task,a,b,39,10
190,6,1,False,Match_First_Digit_False_Task,d,b,40,12
191,6,1,False,Match_First_Digit_False_Task,d,b,41,12
192,6,1,False,Match_First_Digit_False_Task,d,b,42,12
193,6,1,False,Match_First_Digit_False_Task,d,b,43,12
194,6,1,False,Match_First_Digit_False_Task,d,b,44,10
195,6,1,False,Match_Last_Digit_False_Task,e,b,45,21
196,6,1,False,Match_First_Digit_False_Task,d,b,46,12
197,6,1,False,Match_First_Digit_False_Task,d,b,47,12
198,6,1,False,Match_First_Digit_False_Task,d,b,48,12
199,6,1,False,Match_First_Digit_False_Task,d,b,49,12
200,9,0,True,NA,c,c,0,18
201,9,0,True,NA,g,g,1,18
202,9,0,True,NA,h,h,2,18
203,9,0,True,NA,a,a,3,10
204,9,0,True,NA,b,b,4,18
205,9,0,True,NA,i,i,5,18
206,9,0,True,NA,f,f,6,18
207,9,0,True,NA,e,e,7,18
208,9,0,True,NA,d,d,8,12
209,9,0,True,NA,j,j,9,18
210,9,0,True,NA,j,j,10,18
211,9,0,True,NA,j,j,11,18
212,9,0,True,NA,j,j,12,18
213,9,0,True,NA,j,j,13,18
